Week,Cases,Rainfall Amount,Max Temperature,Minimum Temperature,Relative Humidity,Wind Speed,Wind Direction
11/1/2020,26,6.6,29.88571429,23.87142857,83.14285714,1.428571429,202.8571429
11/8/2020,31,32.27142857,30.6,24.95714286,83.57142857,1.571428571,175.7142857
11/15/2020,33,1.085714286,32.25714286,24.05714286,76.57142857,1.142857143,214.2857143
11/22/2020,44,1.5,31.08571429,23.45714286,75.71428571,1,128.5714286
11/29/2020,38,2.128571429,30.25714286,24.3,79.57142857,1.142857143,201.4285714
12/6/2020,17,6.928571429,30.22857143,24.34285714,84.71428571,0.857142857,100
12/13/2020,29,8.042857143,30.35714286,23.6,81.71428571,0.857142857,147.1428571
12/20/2020,35,5.683333333,30.46666667,23.94166667,78.83333333,1.166666667,216.6666667
1/1/2021,86,4.811111111,29.55555556,23.12222222,76.11111111,1.222222222,181.1111111
1/10/2021,37,0,29.14285714,22.6,70.14285714,1,158.5714286
1/17/2021,39,12.5,29.6,24.02857143,80,1,164.2857143
1/24/2021,36,6.485714286,29.8,22.65714286,81.57142857,1,252.8571429
1/31/2021,39,0,30.51428571,22.5,70,1.142857143,147.1428571
2/7/2021,35,1.128571429,30.85714286,23.48571429,77.71428571,1.285714286,294.2857143
2/14/2021,40,0.285714286,29.68571429,21.8,70,1.142857143,245.7142857
2/21/2021,38,0.614285714,31.4,23.48571429,73.85714286,1.285714286,262.8571429
2/28/2021,31,0.971428571,32.42857143,23.47142857,69.57142857,1.285714286,104.2857143
3/7/2021,24,0.085714286,31.95714286,23.25714286,66.14285714,1.142857143,170
3/14/2021,11,9.371428571,32.3,24.65714286,74,1,281.4285714
3/21/2021,17,1.75,32.4,24.075,69.25,1.5,170
3/28/2021,11,0,34.26666667,22.96666667,59.5,1.5,101.6666667
4/4/2021,16,0,32.94285714,24.52857143,61.85714286,1.571428571,108.5714286
4/11/2021,6,0,32.92857143,24.15714286,67,1.142857143,265.7142857
4/18/2021,15,7.685714286,32.82857143,25.47142857,69.28571429,1.571428571,290
4/25/2021,17,0.114285714,32.51428571,24.48571429,69.85714286,1.142857143,274.2857143
5/2/2021,14,0,34.78571429,25.11428571,61.57142857,1.142857143,192.8571429
5/9/2021,14,0,35.15714286,26.44285714,61.14285714,1.571428571,161.4285714
5/16/2021,20,0,35.57142857,26.72857143,63.42857143,1.571428571,217.1428571
5/23/2021,14,1.457142857,34.82857143,26.08571429,68.71428571,1.142857143,158.5714286
5/30/2021,16,8.385714286,33.37142857,26.31428571,74.57142857,1.285714286,267.1428571
6/6/2021,6,13.38571429,31.68571429,25.47142857,81.14285714,1,215.7142857
